epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,3146.95,0.31634,0.21213,0.89933,0.99938,1,0.995,0.99012,0.15576,0.10465,0.75308,0.000561279,0.000561279,0.000561279
136,3170.39,0.31397,0.21045,0.89182,0.99938,1,0.995,0.98928,0.1591,0.10477,0.75495,0.000553027,0.000553027,0.000553027
137,3193.78,0.28879,0.19483,0.88197,0.99906,1,0.995,0.99248,0.1519,0.10822,0.75242,0.000544776,0.000544776,0.000544776
138,3217.1,0.28923,0.19304,0.88941,0.99913,1,0.995,0.99122,0.15183,0.10835,0.75378,0.000536524,0.000536524,0.000536524
139,3240.44,0.295,0.20131,0.89501,0.99928,1,0.995,0.98974,0.15973,0.11332,0.75372,0.000528272,0.000528272,0.000528272
140,3263.82,0.29813,0.20436,0.89486,0.99939,1,0.995,0.99267,0.1507,0.11289,0.75162,0.000520021,0.000520021,0.000520021
141,3287.27,0.29467,0.20172,0.88394,0.99935,1,0.995,0.99199,0.15305,0.10426,0.7514,0.000511769,0.000511769,0.000511769
142,3310.71,0.30728,0.20321,0.8958,0.9994,1,0.995,0.99352,0.15231,0.10966,0.75093,0.000503517,0.000503517,0.000503517
143,3334.03,0.2916,0.20262,0.89117,0.99935,1,0.995,0.99244,0.15878,0.10682,0.75371,0.000495266,0.000495266,0.000495266
144,3357.39,0.30318,0.20579,0.89404,0.99936,1,0.995,0.99292,0.15664,0.10546,0.7518,0.000487014,0.000487014,0.000487014
145,3380.76,0.28872,0.1987,0.88685,0.99929,1,0.995,0.99335,0.1591,0.10743,0.75285,0.000478762,0.000478762,0.000478762
146,3404.1,0.29632,0.20015,0.88125,0.99938,1,0.995,0.99418,0.15487,0.10674,0.75179,0.000470511,0.000470511,0.000470511
147,3427.48,0.28831,0.19547,0.88047,0.99935,1,0.995,0.9909,0.15897,0.10364,0.75471,0.000462259,0.000462259,0.000462259
148,3450.85,0.28732,0.19407,0.88179,0.99936,1,0.995,0.99314,0.15315,0.10444,0.75255,0.000454007,0.000454007,0.000454007
